OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
256889;1;"{""coordinates"": [-0.37046063565445997, 39.49444076361969], ""type"": ""Point""}";39.49444076361969, -0.37046063565445997
256890;1;"{""coordinates"": [-0.3694406195374215, 39.49178246882767], ""type"": ""Point""}";39.49178246882767, -0.3694406195374215
256891;1;"{""coordinates"": [-0.3263973656901986, 39.46447560342624], ""type"": ""Point""}";39.46447560342624, -0.3263973656901986
256895;1;"{""coordinates"": [-0.365584082725101, 39.45553583274467], ""type"": ""Point""}";39.45553583274467, -0.365584082725101
256899;1;"{""coordinates"": [-0.39281090646466277, 39.472330900748325], ""type"": ""Point""}";39.472330900748325, -0.39281090646466277
256901;1;"{""coordinates"": [-0.3334722681186283, 39.46533718773846], ""type"": ""Point""}";39.46533718773846, -0.3334722681186283
256903;1;"{""coordinates"": [-0.376146313328216, 39.486730521359135], ""type"": ""Point""}";39.486730521359135, -0.376146313328216
256906;1;"{""coordinates"": [-0.35994392497929656, 39.47594129137872], ""type"": ""Point""}";39.47594129137872, -0.35994392497929656
256912;1;"{""coordinates"": [-0.3838870338752094, 39.49091933373903], ""type"": ""Point""}";39.49091933373903, -0.3838870338752094
256917;2;"{""coordinates"": [-0.352752772526076, 39.459251398135656], ""type"": ""Point""}";39.459251398135656, -0.352752772526076
256918;2;"{""coordinates"": [-0.35035286201176113, 39.457594019377865], ""type"": ""Point""}";39.457594019377865, -0.35035286201176113
256919;1;"{""coordinates"": [-0.33354963496178786, 39.464676595050975], ""type"": ""Point""}";39.464676595050975, -0.33354963496178786
256922;1;"{""coordinates"": [-0.3392885383936224, 39.42151111249287], ""type"": ""Point""}";39.42151111249287, -0.3392885383936224
256924;1;"{""coordinates"": [-0.3588331603560766, 39.48834634438243], ""type"": ""Point""}";39.48834634438243, -0.3588331603560766
256927;1;"{""coordinates"": [-0.40352393245053897, 39.45190027492254], ""type"": ""Point""}";39.45190027492254, -0.40352393245053897
256928;1;"{""coordinates"": [-0.3577211080533154, 39.48678039435003], ""type"": ""Point""}";39.48678039435003, -0.3577211080533154
256930;1;"{""coordinates"": [-0.4123873575299647, 39.45948915791492], ""type"": ""Point""}";39.45948915791492, -0.4123873575299647
256935;1;"{""coordinates"": [-0.4222034273688998, 39.49745250988007], ""type"": ""Point""}";39.49745250988007, -0.4222034273688998
256937;1;"{""coordinates"": [-0.33640494006923743, 39.474861530245256], ""type"": ""Point""}";39.474861530245256, -0.33640494006923743
256939;1;"{""coordinates"": [-0.37535621905523586, 39.44572200340491], ""type"": ""Point""}";39.44572200340491, -0.37535621905523586
